dziel,;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=731&highlight=2307,3002,716,30;*DZIEL — *DZIEL adv.,;*⟦DZIEL — DZIEL⟧ adv.
dworazny;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=699&highlight=2607,2083,954,24; [(*DWORAZNY ob. Dwurazny)];(*~ ob. Dwurazny)
drewutnia;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=675&highlight=2870,2769,532,49; [[DREWUTNIA. 3]];[~. 3]
żachnąć;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=676&highlight=912,5367,642,79; [[ŻACHNĄĆ się. 1]];[~ się. 1]
we;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=698&highlight=453,5642,593,43; [we DWÓJNASÓB];⟦we DWÓJNASÓB⟧
dwójnasób;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=698&highlight=453,5642,593,43; [we DWÓJNASÓB];⟦we DWÓJNASÓB⟧
dubla;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=682&highlight=416,4417,1463,55; [DUBLA, DUBLET, DUBLOWKA ob. Dupla.];ob. Dupla.
dublet;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=682&highlight=416,4417,1463,55; [DUBLA, DUBLET, DUBLOWKA ob. Dupla.];ob. Dupla.
dublowka;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=682&highlight=416,4417,1463,55; [DUBLA, DUBLET, DUBLOWKA ob. Dupla.];ob. Dupla.
Dubrowica;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=682&highlight=496,3884,1829,80; [DUBROWICA, DUBROWNA ob. Dąbrowica, Dąbrowne.];ob. Dąbrowica, Dąbrowne.
Dubrowna;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=682&highlight=496,3884,1829,80; [DUBROWICA, DUBROWNA ob. Dąbrowica, Dąbrowne.];ob. Dąbrowica, Dąbrowne.

